asset_id,submitter_id,nacc_id,land_doc_number,rai,ngan,sq_wa,sub_distirict,distirict,province,latest_submitted_date
2899,81,1807,34117,0,0,8,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2900,81,1807,34341,0,0,0,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2901,81,1807,34342,0,0,6,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2902,81,1807,34390,0,0,6,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2616,75,1702,961,0,0,27,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2617,75,1702,962,0,0,31,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2618,75,1702,960,0,0,0,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2619,75,1702,2804,4,0,82,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2620,75,1702,17275,0,0,10,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2621,75,1702,1116,0,0,54,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2622,75,1702,17248,1,0,26,ห้วยยอด,ห้วยยอด,ตรัง,2023-06-12
2623,75,1702,26395,19,2,8,ปากแจ่ม,ห้วยยอด,ตรัง,2023-06-12
2934,44,292,552,0,1,24,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2935,44,292,11545,3,2,153,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2936,44,292,11444,30,0,73,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2937,44,292,11443,11,0,40,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2938,44,292,110,4,0,88,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2939,44,292,11544,3,0,33,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2940,44,292,556,0,1,48,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2941,44,292,11464,3,2,47,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2942,44,292,11497,4,0,0,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2943,44,292,11545,3,2,53,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2944,44,292,1803,20,0,1,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2945,44,292,553,0,0,72,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2946,44,292,554,0,0,77,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2947,44,292,555,0,0,10,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2948,44,292,29292,1,0,40,นาแก,นาแก,นครพนม,2023-06-15
2949,44,292,104,14,0,37,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2950,44,292,12858,31,3,48,พนอม,ท่าอุเทน,นครพนม,2023-06-15
2951,44,292,12860,29,2,0,พนอม,ท่าอุเทน,นครพนม,2023-06-15
2952,44,292,27437,0,1,14,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2953,44,292,27438,0,0,10,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2954,44,292,27439,0,1,7,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2955,44,292,27440,0,0,3,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2956,44,292,27441,0,0,99,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2957,44,292,38558,10,1,50,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2958,44,292,48317,0,1,0,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2959,44,292,11465,8,3,33,สามผง,ศรีสงคราม,นครพนม,2023-06-15
2960,44,292,37984,3,0,0,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2961,44,292,46820,0,0,46,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2962,44,292,46821,0,1,88,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2963,44,292,46822,0,0,92,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2964,44,292,46823,0,0,96,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2965,44,292,46824,0,1,97,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2966,44,292,46826,0,1,7,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2967,44,292,722,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2968,44,292,721,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2969,44,292,1131,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2970,44,292,1130,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2971,44,292,743,0,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2972,44,292,744,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2973,44,292,608,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2974,44,292,1115,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2975,44,292,1114,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2976,44,292,1015,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2977,44,292,1014,0,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2978,44,292,1195,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2979,44,292,1194,0,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2980,44,292,1341,0,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2981,44,292,1342,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2982,44,292,1017,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2983,44,292,1365,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2984,44,292,1364,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2985,44,292,1290,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2986,44,292,1289,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2987,44,292,1006,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2988,44,292,1120,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2989,44,292,1121,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2990,44,292,1013,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2991,44,292,1012,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2985,44,292,1396,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2986,44,292,1397,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2987,44,292,1182,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2988,44,292,1183,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2988,44,292,1399,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2989,44,292,535,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2990,44,292,536,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2991,44,292,565,0,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2992,44,292,566,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2993,44,292,861,10,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2994,44,292,862,1,0,0,พะทาย,ท่าอุเทน,นครพนม,2023-06-15
2995,44,292,,23,1,0,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
3014,82,1913,80911,0,1,0,บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,2023-06-27
3015,82,1913,1687,4,0,44,บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,2023-06-27
3016,82,1913,,0,1,0,,บางซื่อ,กรุงเทพมหานคร,2023-06-27
3053,73,2420,94675,0,0,14,,,กรุงเทพมหานคร,2022-02-10
3054,73,2420,1256,0,0,46.6,,,กรุงเทพมหานคร,2022-02-10
3055,73,2420,2060,0,0,13.2,,,กรุงเทพมหานคร,2022-02-10
3056,73,2420,2062,0,0,13.3,,,กรุงเทพมหานคร,2022-02-10
3057,73,2420,2063,0,0,4.4,,,กรุงเทพมหานคร,2022-02-10
3058,73,2420,1107,0,0,14.3,,,กรุงเทพมหานคร,2022-02-10
3059,73,2420,1215,0,0,13.2,,,กรุงเทพมหานคร,2022-02-10
3060,73,2420,1250,0,0,13.9,,,กรุงเทพมหานคร,2022-02-10
3061,73,2420,204687,0,1,8.8,,,กรุงเทพมหานคร,2022-02-10
3062,73,2420,13556,0,0,0,,,กรุงเทพมหานคร,2022-02-10
3063,73,2420,124791,0,0,21.9,,,,2022-02-10
3064,73,2420,10070,2,1,91,,,,2022-02-10
3065,73,2420,1551,9,2,40,,,,2022-02-10
3066,73,2420,136592,1,0,0,,,,2022-02-10
3067,73,2420,136593,1,0,96,,,,2022-02-10
3068,73,2420,99428,0,0,60,,,,2022-02-10
3069,73,2420,99429,0,0,60,,,,2022-02-10
3070,73,2420,99430,0,0,60,,,,2022-02-10
3071,73,2420,7953,9,0,88,,,,2022-02-10
3072,73,2420,8403,8,2,63,,,,2022-02-10
3073,73,2420,38143,0,0,71,,,,2022-02-10
3074,73,2420,38147,2,1,73,,,,2022-02-10
3075,73,2420,38148,8,2,98,,,,2022-02-10
3076,73,2420,38142,0,2,47,,,,2022-02-10
3077,73,2420,61611,3,0,0,,,,2022-02-10
3078,73,2420,23650,6,1,2.3,,,,2022-02-10
3079,73,2420,88400,0,0,16.5,,,,2022-02-10
3080,73,2420,88401,0,0,16.9,,,,2022-02-10
3081,73,2420,88470,0,0,26.4,,,,2022-02-10
3082,73,2420,88471,0,0,16.5,,,,2022-02-10
3083,73,2420,88472,0,0,16.5,,,,2022-02-10
3084,73,2420,88473,0,0,16.5,,,,2022-02-10
3085,73,2420,88474,0,0,165,,,,2022-02-10
3086,73,2420,88475,0,0,16.5,,,,2022-02-10
3087,73,2420,88476,0,0,16.5,,,,2022-02-10
3088,73,2420,88477,0,0,165,,,,2022-02-10
3089,73,2420,88478,0,0,24.2,,,,2022-02-10
3090,73,2420,88479,0,0,16.9,,,,2022-02-10
3091,73,2420,88480,0,0,16.9,,,,2022-02-10
3092,73,2420,88481,0,0,16.9,,,,2022-02-10
3093,73,2420,88482,0,0,16.9,,,,2022-02-10
3094,73,2420,88483,0,0,16.9,,,,2022-02-10
3095,73,2420,88484,0,0,16.9,,,,2022-02-10
3096,73,2420,68059,4,2,0,,,,2022-02-10
3097,73,2420,68060,4,2,7,,,,2022-02-10
3098,73,2420,68062,2,0,30,,,,2022-02-10
3099,73,2420,68063,1,1,64,,,,2022-02-10
3100,73,2420,68064,5,0,65,,,,2022-02-10
3101,73,2420,68065,1,0,28,,,,2022-02-10
3102,73,2420,27810,0,0,3,,,,2022-02-10
3103,73,2420,27811,0,3,74,,,,2022-02-10
3104,73,2420,13208,0,0,22.1,,,,2022-02-10
3105,73,2420,75002,0,0,88,,,,2022-02-10
3106,73,2420,55064,1,0,0,,,,2022-02-10
3107,73,2420,55065,1,0,0,,,,2022-02-10
3108,73,2420,55066,1,0,0,,,,2022-02-10
3109,73,2420,55067,1,0,0,,,,2022-02-10
3110,73,2420,55068,0,0,0,,,,2022-02-10
3111,73,2420,55069,0,0,0,,,,2022-02-10
3112,73,2420,55070,0,0,0,,,,2022-02-10
3113,73,2420,55071,0,0,0,,,,2022-02-10
3114,73,2420,51359,0,2,58,,,,2022-02-10
3115,73,2420,65058,0,2,58,,,,2022-02-10
3116,73,2420,349,2,1,10,,,,2022-02-10
3117,73,2420,350,2,0,0,,,,2022-02-10
3118,73,2420,94380,0,0,0,,,,2022-02-10
3119,73,2420,94381,0,0,83,,,,2022-02-10
3120,73,2420,94382,0,0,83,,,,2022-02-10
3121,73,2420,94383,0,0,83,,,,2022-02-10
3119,73,2420,30469,0,0,74,,,,2022-02-10
3120,73,2420,30477,9,0,9,,,,2022-02-10
3120,73,2420,4758,0,1,55,,,,2022-02-10
3121,73,2420,9897,0,2,0,,,,2022-02-10
