asset_id,submitter_id,nacc_id,count,unit,latest_submitted_date
2737,80,63,1,เรือน,2022-12-13
2738,80,63,1,ชุด,2022-12-13
2739,80,63,1,ชุด,2022-12-13
2741,80,63,1,วง,2022-12-13
2742,80,63,2,คู,2022-12-13
2743,80,63,2,,2022-12-13
2744,80,63,3,บาท,2022-12-13
2745,80,63,15,บาท,2022-12-13
2745,86,66,3,เรือน,2022-12-13
2746,86,66,1,เส้น,2022-12-13
2747,86,66,1,เรือน,2022-12-13
2748,86,66,1,เส้น,2022-12-13
2749,86,66,9,วง,2022-12-13
2750,86,66,4,คู่,2022-12-13
2751,87,70,1,เส้น,2022-12-13
2752,87,70,3,เรือน,2022-12-13
2753,87,70,2,เรือน,2022-12-13
2754,87,70,4,ว,2022-12-13
2755,89,328,1,,2023-03-03
2756,89,328,1,,2023-03-03
2765,89,328,1,,2023-03-03
2769,89,328,1,,2023-03-03
2771,89,328,1,,2023-03-03
2761,91,352,1,,2023-03-15
2763,91,352,1,,2023-03-15
2766,91,352,1,,2023-03-15
2768,91,352,1,,2023-03-15
2764,95,495,1,,2023-05-01
2765,95,495,2,,2023-05-01
2766,96,501,1,กระบอก,2023-05-01
2767,96,501,1,กระบอก,2023-05-01
2771,161,508,1,,2023-05-02
2769,161,508,1,,2023-05-02
2773,161,508,1,,2023-05-02
2776,161,508,1,,2023-05-02
2772,97,539,3,เส้น,2023-05-16
2773,97,539,1,,2023-05-16
2774,97,539,5,เรือน,2023-05-16
2775,97,539,3,,2023-05-16
2781,98,541,1,,2023-05-16
2787,98,541,1,,2023-05-16
2795,98,541,1,,2023-05-16
2796,98,541,1,,2023-05-16
2797,98,541,1,,2023-05-16
2804,98,541,1,,2023-05-16
2807,98,541,1,,2023-05-16
2783,69,544,1,,2023-05-16
2785,69,544,1,กระบอก,2023-05-16
2786,69,544,1,กระบอก,2023-05-16
2787,69,544,1,องค์,2023-05-16
2788,69,544,1,เส้น,2023-05-16
2789,69,544,1,กระบอก,2023-05-16
2790,69,544,1,คุ,2023-05-16
2791,69,544,1,เรือน,2023-05-16
2792,69,544,1,วง,2023-05-16
2784,69,544,1,เส้น,2023-05-16
2793,162,550,14,,2023-05-23
2796,99,558,1,จำนวนหน่วย,2023-05-23
2795,99,558,1,,2023-05-23
2797,99,558,1,,2023-05-23
2798,99,558,1,,2023-05-23
2799,99,558,1,,2023-05-23
2800,99,558,1,,2023-05-23
2801,99,558,1,,2023-05-23
2802,99,558,1,,2023-05-23
2803,99,558,1,,2023-05-23
2804,99,558,1,,2023-05-23
2805,99,558,1,,2023-05-23
2806,99,558,11,,2023-05-23
2807,99,558,1,,2023-05-23
2808,99,558,1,,2023-05-23
2809,99,558,1,,2023-05-23
2810,99,558,1,,2023-05-23
2811,99,558,1,,2023-05-23
2812,99,558,1,,2023-05-23
2813,99,558,1,,2023-05-23
2814,99,558,1,,2023-05-23
2815,99,558,1,,2023-05-23
2816,99,558,1,,2023-05-23
2817,99,558,1,,2023-05-23
2817,100,566,8,บาท,2023-05-24
2818,100,566,20,องค์,2023-05-24
2819,100,566,16,องค์,2023-05-24
2820,100,566,2,องค์,2023-05-24
2821,100,566,6,องค์,2023-05-24
2822,101,571,9,เรือน,2023-05-24
2823,101,571,46,วง,2023-05-24
2824,101,571,77,องค์,2023-05-24
2825,101,571,19,ชุด,2023-05-24
2826,101,571,4,กระบอก,2023-05-24
2827,101,571,2,เรือน,2023-05-24
2832,102,654,1,เส้น,2023-06-07
2829,102,654,1,เส้น,2023-06-07
2830,102,654,1,ชุด,2023-06-07
2831,102,654,1,เส้น,2023-06-07
2833,102,654,1,ชุด,2023-06-07
2833,42,663,1,จำนวนหน่วย,2023-06-07
2834,42,663,1,,2023-06-07
2835,42,663,1,,2023-06-07
2836,42,663,1,,2023-06-07
2837,42,663,1,,2023-06-07
2838,42,663,1,,2023-06-07
2839,42,663,1,,2023-06-07
2840,42,663,1,,2023-06-07
2841,42,663,1,,2023-06-07
2842,42,663,1,,2023-06-07
2843,42,663,1,,2023-06-07
2845,42,663,1,,2023-06-07
2846,42,663,1,,2023-06-07
2847,42,663,1,,2023-06-07
2848,42,663,1,,2023-06-07
2852,42,663,1,,2023-06-07
2850,103,672,1,,2023-06-07
2851,103,672,1,,2023-06-07
2852,103,672,4,ชุด,2023-06-07
2853,103,672,1,เส้น,2023-06-07
2853,104,676,1,จำนวนหน่วย,2023-05-30
2854,104,676,1,,2023-05-30
2855,104,676,1,,2023-05-30
2856,104,676,1,,2023-05-30
2857,104,676,1,,2023-05-30
2858,104,676,1,,2023-05-30
2859,104,676,1,,2023-05-30
2860,104,676,1,,2023-05-30
2861,105,692,6,,2023-05-30
2862,105,692,3,,2023-05-30
2863,105,692,2,,2023-05-30
2864,105,692,55,บาทละ,2023-05-30
2865,105,692,4,,2023-05-30
2866,105,692,25,บาท,2023-05-30
2868,164,774,1,เส้น,2023-06-12
2871,164,774,1,คู่,2023-06-12
2869,109,790,1,,2023-06-19
2870,109,790,1,,2023-06-19
2871,109,790,1,,2023-06-19
2874,109,790,1,,2023-06-19
2875,109,790,1,,2023-06-19
2876,109,790,1,,2023-06-19
2875,110,791,1,ชุด,2023-06-15
2876,110,791,1,ชุด,2023-06-15
2877,110,791,1,ชุด,2023-06-15
2878,110,791,1,วง,2023-06-15
2879,110,791,1,ชุด,2023-06-15
2880,110,791,1,เรือน,2023-06-15
2881,110,791,1,เรือน,2023-06-15
2882,112,794,1,,2023-06-19
2884,112,794,1,,2023-06-19
2885,112,794,1,,2023-06-19
2885,116,816,4,เส้น,2023-06-19
2886,116,816,1,การพลิก,2023-06-19
2889,117,820,1,,2023-06-19
2888,117,820,1,,2023-06-19
2890,117,820,1,,2023-06-19
2891,117,820,7,,2023-06-19
2891,119,898,2,,2023-06-27
2897,62,905,3,,2023-06-28
2894,62,905,3,,2023-06-28
2895,62,905,3,,2023-06-28
2896,62,905,1,,2023-06-28
2899,62,905,2,,2023-06-28
2900,62,905,3,,2023-06-28
2901,62,905,3,,2023-06-28
2902,62,905,11,,2023-06-28
2900,120,933,1,,2023-06-27
2901,120,933,1,,2023-06-27
2902,120,933,1,,2023-06-27
2903,120,933,1,,2023-06-27
2904,120,933,1,,2023-06-27
2905,120,933,4,,2023-06-27
2906,120,933,5,,2023-06-27
2907,122,949,50,องค์,2023-07-11
2908,122,949,1,เรือน,2023-07-11
2909,122,949,1,เรือน,2023-07-11
2910,122,949,1,เรือน,2023-07-11
2911,122,949,1,เรือน,2023-07-11
2913,122,949,1,เส้น,2023-07-11
2915,122,949,1,,2023-07-11
2916,122,949,1,เชื่อน,2023-07-11
2915,123,950,15,ตัว,2023-07-10
2916,46,975,1,,2023-07-04
2917,46,975,1,,2023-07-04
2918,46,975,1,,2023-07-04
2919,46,975,1,,2023-07-04
2920,46,975,1,,2023-07-04
2922,125,976,1,,2023-07-11
2926,125,976,1,กระบอก,2023-07-11
2932,125,976,1,กระบอก,2023-07-11
2933,125,976,2,เรือน,2023-07-11
2934,125,976,1,,2023-07-11
2935,125,976,1,ชุด,2023-07-11
2937,125,976,1,ชุด,2023-07-11
2928,54,989,10,,2023-07-07
2929,54,989,4,,2023-07-07
2930,127,1035,1,,2023-07-10
2931,127,1035,1,,2023-07-10
2932,127,1035,1,,2023-07-10
2933,127,1035,1,,2023-07-10
2934,127,1035,1,,2023-07-10
2935,127,1035,1,,2023-07-10
2936,127,1035,1,,2023-07-10
2937,127,1035,1,,2023-07-10
2938,127,1035,1,,2023-07-10
2939,127,1035,1,,2023-07-10
2940,127,1035,1,,2023-07-10
2941,127,1035,1,,2023-07-10
2942,127,1035,1,,2023-07-10
2943,127,1035,3,,2023-07-10
2944,127,1035,3,,2023-07-10
2945,127,1035,3,,2023-07-10
2946,127,1035,3,,2023-07-10
2947,127,1035,4,,2023-07-10
2948,127,1035,3,,2023-07-10
2949,127,1035,2,,2023-07-10
2950,127,1035,2,,2023-07-10
2951,63,1039,18,องค์,2023-07-13
2952,63,1039,6,ดอก,2023-07-13
2953,63,1039,11,วง,2023-07-13
2954,63,1039,12,ชิ้น,2023-07-13
2955,63,1039,5,เส้น,2023-07-13
2956,63,1039,5,ชิ้น,2023-07-13
2957,63,1039,2,ชิ้น,2023-07-13
2958,63,1039,11,ใบ,2023-07-13
2960,130,1051,1,วง,2023-07-11
2961,130,1051,1,เส้น,2023-07-11
2962,130,1051,1,วง,2023-07-11
2963,130,1051,1,เส้น,2023-07-11
2964,130,1051,1,เส้น,2023-07-11
2965,130,1051,4,โบ,2023-07-11
2966,130,1051,1,เส้น,2023-07-11
2967,130,1051,55,องค์,2023-07-11
2967,131,1057,1,กระบอก,2023-07-07
2968,131,1057,1,กระบอก,2023-07-07
2969,131,1057,1,กระบอก,2023-07-07
2970,131,1057,1,กระบอก,2023-07-07
2971,131,1057,1,กระบอก,2023-07-07
2972,131,1057,1,กระบอก,2023-07-07
2973,131,1057,1,กระบอก,2023-07-07
2974,131,1057,1,กระบอก,2023-07-07
2975,133,1061,2,กระบอก,2023-07-18
2976,105,1558,1,เส้น,2019-10-15
2977,105,1558,5,ลง,2019-10-15
2978,105,1558,2,คู่,2019-10-15
2979,105,1558,2,เส้น,2019-10-15
2980,105,1558,4,วง,2019-10-15
2981,105,1558,55,บาท,2019-10-15
2982,105,1558,4,เส้น,2019-10-15
2983,105,1558,25,บาท,2019-10-15
