submitter_id,nacc_id,position_period_type_id,index,position,position_category_type_id,workplace,workplace_location,date_acquiring_type_id,start_date,start_month,start_year,date_ending_type_id,end_date,end_month,end_year,note,latest_submitted_date
91,352,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐบาล,รัฐบาล,1,22,12,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-03-15
91,352,3,1,สมาชิกสภาจังหวัดชัยภูมิ,,อนจ. ชัยภูมิ,,1,,,2017,4,,,,,2023-03-15
92,354,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,15,12,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-03-15
92,354,3,1,สมาชิกสภาผู้แทนราษฎร,,โสภา,,1,,,562,1,,,2022,,2023-03-15
93,388,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,11,1,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-03-30
93,388,3,1,สมาชิกสภากรุงเทพมหานคร ศาลาว่าการกรุงเทพมหานคร,,,,1,,,2007,1,,,2014,,2023-03-30
93,388,3,2,สมาชิกสภาผู้แทนราษฎร (ส.ส.),,พรรคพลังประชารัฐ เลขที่ 547 ถ.รัชดาภิเษก โทนต์กนิษฐ์ แห้วสันตติ ลงซื้อ,,1,,,2019,1,,,2023,,2023-03-30
94,400,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,31,1,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-04-05
95,495,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,10,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-01
95,495,3,1,สมาชิกสภาผู้แทนราษฎร,,สำนักงานเลขาธิการสภาพแทนราษฎร,,1,,,2019,1,,,2023,,2023-05-01
95,495,3,2,,,แขวงนครไชยศรี เขตดุสิต กรุงเทพฯ 10300,,4,,,,4,,,,,2023-05-01
96,501,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,23,2,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-01
96,501,3,1,กรรมการบริหารพรรคประชาธิปัตย์,,67 ถ.เศรษฐศิริ แขวงสามเสน เขตพญาไท กทม.,,1,,,1999,1,,,2006,,2023-05-01
96,501,3,2,รองเลขาธิการพรรคประชาธิปัตย์,,67 ถ.เศรษฐศิริ แขวงสามเสน เขตพญาไท กทม.,,1,,,2008,4,,,,,2023-05-01
96,501,3,3,,,เลขานุการ รมต.กระทรวงสาธารณสุข กระทรวงสาธารณสุข ต.ตลาดขวัญ อ.เมือง จ. นนทบุรี,,1,,,2009,4,,,,,2023-05-01
96,501,3,4,รองหัวหน้าพรรคประชาธิปัตย์,,67 ถ.เศรษฐศิริ แขวงสามเสน เขตพญาไท กทม.,,1,,,2011,4,,,,,2023-05-01
96,501,3,5,ประชาธิปัตย์ ส.ส.แบบบัญชีรายชื่อ พรรค,,สภาผู้แทนราษฎร ถ.อู่ทองใน เขตดุสิต กทม.,,1,,,2011,4,,,,,2023-05-01
161,508,1,0,สมาชิกสภาผู้แทนราษฎร,4,,,1,24,2,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-02
161,508,3,1,·ําแหน่ง,,,,4,,,,4,,,,,2023-05-02
161,508,3,2,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา,,4,,,,4,,,,,2023-05-02
161,508,3,3,ประธานสถา เกษตรจังหวัดสระบุรี,,สำนักงานสถาเกษตรจังหวัดสระบุรี,,1,,,2011,1,,,2020,,2023-05-02
154,537,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-16
154,537,3,1,ธิติ กร,,สำนักงานคณะกรรมการสวัสดิภาพ,,4,,,,4,,,,,2023-05-16
154,537,3,2,เลขานการ,,รส สตรอและบุคลากรทางการคลัง,,1,,,2017,4,,,,,2023-05-16
154,537,3,3,สมาชิกสภาผู้แทนราษฎร,,มีปอยะสภาสถาน,,4,,,,4,,,,,2023-05-16
97,539,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-16
98,541,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,8,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-16
98,541,3,1,มหาวิทยาลัยธรรมศาสตร์,,,,4,,,,4,,,,,2023-05-16
98,541,3,2,สมาชิกผู้แทนราษฎร,,13เคราะห์พรรคพลังท้องถิ่นไท,,4,,,,4,,,,,2023-05-16
69,544,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-16
69,544,3,1,เลขาธิการพรรคภูมิใจไทย ที่ปรึกษา บริษัท บุรีรัมย์ ศิลาชัย (๑๙๙๑) จำกัด ที่ปรึกษา หจก.บุรีเจริญคอนสตรัคชั่น สมาชิกสภาผู้แทนราษฎร รัฐมนตรีว่าการกระทรวงคมนาคม,,๒๑๕๙/๑๑ ถนนพหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพฯ ๓๐/๒ ม.4 ต.อิสาณ อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ ๓๐/๑๗ ม.๑๕ ต.อิสาณ อ.เมือง บุรีรัมย์ จ.บุรีรัมย์ Onatural,,4,,,,4,,,,,2023-05-16
162,550,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,27,2,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-23
162,550,3,1,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา,,1,,,2019,1,,,2023,,2023-05-23
99,558,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-23
99,558,3,1,กำนันตำบลหัวหว้า,,จากการกำนัน ต. หัวหว้า อ. ศรีมหาโพธิ จ. ปราจีนบุรี,,1,,,1990,1,,,2019,,2023-05-23
99,558,3,2,หุ้นส่วนผู้จัดการหจก. กองมิส 171 ม. 10,,,,1,,,1990,1,,,2019,,2023-05-23
99,558,3,3,สมาชิกสภาผู้แทนราษฎร,,พรรคเสรีรวมไทย ON MW,,1,,,2019,1,,,2023,,2023-05-23
100,566,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,9,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-24
101,571,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,6,2,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-24
101,571,3,1,สมาชิกสภาองค์การบริหาร,,องค์การบริหารส่วนจังหวัด,,4,,,,4,,,,,2023-05-24
101,571,3,2,,,นนทบุรี (อบจ.นพ.) ถนนรัตนาธิเบศร์ ตำบลบางกระสอ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี สริม เรื่องแรง ไงียดแพง,,4,,,,4,,,,,2023-05-24
163,590,1,0,สมาชิกสภาผู้แทนราษฎร,4,พรรคภูมิใจไทย,พรรคภูมิใจไทย,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-24
163,590,3,1,สมาชิกสภาผู้แทนราษฎร,,,,1,,,2020,1,,,2023,,2023-05-24
102,654,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-07
102,654,3,1,ที่ปรึกษาทั่วไป บ.เค.ที คอนสตรัคชั่น จำกัด,,98/6 ถ.ศรีนครินทร์ แขวงหนองบอน ประเวศ กทม10250,,1,,,2016,1,,,2018,,2023-06-07
102,654,3,2,สมาชิกสภาผู้แทนราษฎร,,สำนักงานเลขาธิการสภาผู้แทนราษฎร,,1,,,2019,1,,,2023,,2023-06-07
42,663,1,0,สมาชิกสภาผู้แทนราษฎร,4,พรรคภูมิใจไทย สำนักงานเลขาธิการสภาผู้แทนราษฎร,พรรคภูมิใจไทย สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,25,5,2019,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-07
42,663,3,1,เลขที่ อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา,,หมู่ 11 ถนนโรจนะ ต.กะมัง,,4,,,,4,,,,,2023-06-07
42,663,3,2,สมาชิกสภาผู้แทนราษฎร,,พรรคภูมิใจไทย สำนักงานเลขาธิการสภาผู้แทนราษฎร ผู้อื่นบัญชี,,4,,,,1,,,2023,,2023-06-07
103,672,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการผู็แทนราษฎร,สำนักงานเลขาธิการผู็แทนราษฎร,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-07
103,672,3,1,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา /กรุงเทพมหานคร,,1,,,2019,4,,,,,2023-06-07
90,673,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู็แทนราษฎร,สำนักงานเลขาธิการสภาผู็แทนราษฎร,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-30
90,673,3,1,ษานวร เฟอร์เฟค คอมวังน้อยบอก,,,,1,,,1997,4,,,,,2023-05-30
90,673,3,2,,,พรรคพลังท้องถิ่นใหม่,,4,,,,4,,,,,2023-05-30
104,676,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-30
104,676,3,1,สมาชิกสภาผู้แทนราษฎร,,พรรคเพื่อไทย,,1,,,2019,1,,,2023,,2023-05-30
43,688,1,0,สมาชิกสภาผู้แทนราษฎร,4,พรรคชาติไทยพัฒนา,พรรคชาติไทยพัฒนา,1,25,5,2019,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-30
43,688,3,1,ประธานสโมสรฟุตบอล สุพรรณบุรี จำกัด จ. สุพรรณบุรี 72000 1/54,,,,1,,,2011,1,,,2019,,2023-05-30
43,688,3,2,สมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อ 1,,พรรคชาติไทยพัฒนา,,1,,,2019,1,,,2023,,2023-05-30
43,688,3,3,รัฐมนตรีว่าการกระทรวงทรัพยากร เขตพญาไท,,,,4,,,,4,,,,,2023-05-30
105,692,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,23,2,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-05-30
105,692,3,1,สมาชิกสภาผู้แทนราษฎร,,โสภา,,4,,,,4,,,,,2023-05-30
105,692,3,2,,,รัฐสภา,,4,,,,4,,,,,2023-05-30
105,692,3,3,,,รัฐสภา,,4,,,,4,,,,,2023-05-30
106,713,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-13
106,713,3,1,ข้าราชการบำนาญ,,เทศบาลนครเชียงใหม่,,1,,,2018,4,,,,,2023-06-13
106,713,3,2,สมาชิกสภาผู้แทนราษฎร,,สุ พัตรา,,1,,,2019,4,,,,,2023-06-13
107,724,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-12
107,724,3,1,เจ้าของ,,กอแม่จันทร์แดง 125,,4,,,,4,,,,,2023-06-12
107,724,3,2,,,1. ผมันเพวฤกษ์ ต. ในเรียง อ. เมือง จ.ด่าน,,4,,,,4,,,,,2023-06-12
164,774,1,0,สมาชิกสภาผู้แทนราษฎร,4,พรรคประชาธิปัตย์,พรรคประชาธิปัตย์,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-12
164,774,3,1,รองหัวหน้าพรรค,,พรรคประชาธิปัตย์,,1,,,2013,1,,,2023,,2023-06-12
165,776,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-12
165,776,3,1,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา,,4,,,,4,,,,,2023-06-12
165,776,3,2,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา,,4,,,,4,,,,,2023-06-12
165,776,3,3,สมาชิกสภาผู้แทนราษฎร,,ริชสภา,,1,,,2020,4,,,,,2023-06-12
165,776,3,4,,,รัฐสภา,,4,,,,4,,,,,2023-06-12
165,776,3,5,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา ................,,1,,,2018,4,,,,,2023-06-12
108,789,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,19,10,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-19
108,789,3,1,,,,,4,,,,4,,,,,2023-06-19
108,789,3,2,,,รัฐสภา พาพัชร เพลส,,4,,,,4,,,,,2023-06-19
109,790,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-19
109,790,3,1,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา.,,1,,,2019,4,,,,,2023-06-19
110,791,1,0,สมาชิกสภาผู้แทนราษฎร,4,สภาผู้แทนราษฎร,สภาผู้แทนราษฎร,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-15
110,791,3,1,สมาชิกสภาผู้แทนราษฎร จังหวัดอุบลราชธานี,,สภาผู้แทนราษฎร,,1,,,2023,1,,,2019,,2023-06-15
111,793,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-15
111,793,3,1,สมาชิกสภาผู้แทนราษฎร,,สภาผู้แทนราษฎร/ 1111 ถ.สามเสน แขวงถนนนครไชยศรี เขตดุสิต กทม 10300,,1,,,2019,1,,,2023,,2023-06-15
111,793,3,2,สมาชิกสภาผู้แทนราษฎร,,สภาผู้แทนราษฎร/ 1111 ถ.สามเสน แขวงถนนนครไชยศรี เขตดุสิต กทม 10300,,1,,,2011,1,,,2014,,2023-06-15
112,794,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-19
112,794,3,1,ที่ปรึกษาผู้ตรวจการแผ่นดิน,,สำนักงานผู้ตรวจการแผ่นดิน,,4,,,,4,,,,,2023-06-19
112,794,3,2,สมาชิกสภาผู้แทนราษฎร,,สำนักงานเลขาธิการสภาผู้แทนราษฎร,,4,,,,4,,,,,2023-06-19
113,799,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-15
113,799,3,1,ผู้ชนใบอนุญาตวิทยาลัยเทคโนโลยีสว่นมาดิน 181,,,,1,,,2006,1,,,2008,,2023-06-15
113,799,3,2,สมาชิกสภาผู้แทนราษฎร ผู้รับใบอนุญาตโรงเรียนก็พานหลวง 499,,ถนนย์ทองใน เขตดุสิต กทม.,,1,52,,2013,4,,,,,2023-06-15
113,799,3,3,ปรับใบอนุญาตอิเหนาลัยห้าค โนโลยีสำทางเดิน 181,,,,1,,,2014,1,,,2019,,2023-06-15
113,799,3,4,สมาชิกสภาผู้แทนราษฎร,,ถนนอินต์ใน หยุดสิต กระทาพฯ -- แรกบ่,,1,,,2019,1,,,2023,,2023-06-15
114,801,1,0,สมาชิกสภาผู้แทนราษฎร,4,,,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-15
114,801,3,1,,,หม้อสุดหรู,,4,,,,4,,,,,2023-06-15
114,801,3,2,ข้าราชการการเมืองบำนาญ สำนักนายกรัฐมนตรี,,,,1,,,2014,4,,,,,2023-06-15
114,801,3,3,,,ช่วยงานพรรคประชาธิปัตย์ พรรคประชาธิปัตย์.,,1,,,2017,4,,,,,2023-06-15
115,803,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-19
115,803,3,1,สมาชิกสภาผู้แทนราษฎรจ. ร้อยเอ็ด สถานีแทนราษฎร อู่ทองใน,,ดุสิต กทม.,,1,,,2007,4,,,,,2023-06-19
115,803,3,2,สมาชิกสภาผู้แทนราษฎรจ,,ร้อยเอ็ด สภาผู้แทนราษฎร อุทยาน คณิต กทม.,,1,,,2008,1,,,2011,,2023-06-19
115,803,3,3,สมาชิกสภาผู้แทนราษฎรจ 300109,,,,1,,,2019,1,,,2023,,2023-06-19
116,816,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,1,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-19
116,816,3,1,สมาชิกสภาผู้แทนราษฎร,,จาวัย สิบ,,1,,,2019,1,,,2023,,2023-06-19
117,820,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,22,2,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-19
117,820,3,1,กรรมการผู้จัดการบริษัทชีวานันกรุ๊ปบริษัทชีวานันท์กรุ๊ปจำกัด,,,,1,,,2019,4,,,,,2023-06-19
117,820,3,2,มิ.ย. 62 1 มี.ค. 66 กรรมการผู้จัดการบริษัทที.เอ. อี มาร์ท กรัฐ 59/23,,"สำนักงานเลขาธิการสภาพเถาพราษฎร์ สามเสน ดุสิต กทม. 1,300 จ.นนทบุรี ณ วันที่ 3/3/66",,4,,,,4,,,,,2023-06-19
118,886,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-12
118,886,3,1,ส.ส. ชัยภูมิ สนง. เลขาธิการสภาผู้แทนราษฎร สอง,,,,1,,,1992,1,,,2023,,2023-06-12
119,898,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,8,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-27
119,898,3,1,ผู้จัดการร้านกาแฟ + หุ้นส่วน,,"""ร้าน Almond Coffee. /เล็กสุกุลชัย วัน 1 ถ.ช้างคลาน อ.เมือง จ.เชียงใหม่ 50100",,4,,,,4,,,,,2023-06-27
119,898,3,2,สมาชิกสภาผู้แทนราษฎร. กทม.เขต 24,,รัฐสภา,,4,,,,1,,,1972,,2023-06-27
62,905,1,0,รัฐมนตรีว่าการกระทรวง,3,กระทรวงยุติธรรม,กระทรวงยุติธรรม,1,17,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-28
53,907,1,0,สมาชิกสภาผู้แทนราษฎร,4,รัฐสภา,รัฐสภา,1,20,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-27
53,907,3,1,มัคคุเทศก์,,อิสระ,,1,,,2024,1,,,2019,,2023-06-27
53,907,3,2,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา 1111 ถ. สามเสน แขวงถนนนครไชยศรี เขตดุสิต กทม. 10300 12. ...............,,1,,,2019,1,,,2023,,2023-06-27
120,933,1,0,สมาชิกสภาผู้แทนราษฎร,4,สภาผู้แทนราษฎร/รัฐสภา,สภาผู้แทนราษฎร/รัฐสภา,1,15,3,2023,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-06-27
120,933,3,1,สมาชิกสภาผู้แทนราษฎร,,รัฐสภา,,1,,,2019,1,,,2023,,2023-06-27
120,933,3,2,หัวหน้าพรรค,,พรรคเศรษฐกิจใหม่/199 ถ.นราธิวาสราชนครินทร์ แขวงช่องนนทรี ยานนาวา กทม. 10120,,1,,,2018,1,,,2022,,2023-06-27
