asset_id,submitter_id,nacc_id,index,asset_type_id,asset_type_other,asset_name,date_acquiring_type_id,acquiring_date,acquiring_month,acquiring_year,date_ending_type_id,ending_date,ending_month,ending_year,asset_acquisition_type_id,valuation,owner_by_submitter,owner_by_spouse,owner_by_child,latest_submitted_date
2635,99999,99999,7,33,,สร้อยคอทองคำ น้ำหนักทอง 10 บาท และจี้,2,,,,4,,,,6,394100,TRUE,FALSE,FALSE,
2636,99999,99999,8,33,,สร้อยคอทองคำ น้ำหนักทอง 11 บาท,2,,,,4,,,,6,323510,TRUE,FALSE,FALSE,
2637,99999,99999,9,33,,สร้อยคอทองคำลายสุโขทัยน้ำหนักทอง 5บาท,1,15,8,2022,4,,,,6,147050,TRUE,FALSE,FALSE,
2638,99999,99999,10,35,,สร้อยข้อมือลายดอกไม้ น้ำหนักทอง 1.6 บาท,1,15,8,2022,4,,,,6,47056,TRUE,FALSE,FALSE,
2639,99999,99999,11,35,,สร้อยข้อมือลายสุโขทัย น้ำหนักทอง 3 บาท,1,15,8,2022,4,,,,6,88230,TRUE,FALSE,FALSE,
2640,99999,99999,12,35,,- สร้อยคอลายดอกไม้ น้ำหนักทอง 3 บาท,1,15,8,2022,4,,,,6,88230,TRUE,FALSE,FALSE,
2641,99999,99999,13,35,,กำไรข้อมือ น้ำหนักทอง 2 บาท,1,15,8,2022,4,,,,6,58820,TRUE,FALSE,FALSE,
2642,99999,99999,14,35,,สร้อยข้อมือ น้ำหนักทอง 5 บาท,2,,,,4,,,,6,147050,TRUE,FALSE,FALSE,
2643,99999,99999,15,35,,สร้อยข้อมือ น้ำหนักทอง 10 บาท,2,,,,4,,,,6,294100,TRUE,FALSE,FALSE,
2644,99999,99999,16,35,,เข็มขัดทอง น้ำหนักทอง 20 บาท,2,,,,4,,,,6,588200,TRUE,FALSE,FALSE,
2645,99999,99999,17,35,,เข็มขัดทอง น้ำหนักทอง 18 บาท,2,,,,4,,,,6,529380,TRUE,FALSE,FALSE,
2646,99999,99999,18,35,,เข็มขัดทอง น้ำหนักทอง 14 บาท,2,,,,4,,,,6,411740,TRUE,FALSE,FALSE,
2647,99999,99999,19,35,,เข็มขัดนาค น้ำหนักนาค 10 บาท,2,,,,4,,,,6,110000,TRUE,FALSE,FALSE,
2648,99999,99999,20,31,,สร้อยคอพร้อมจี้เพชร,1,1,8,2020,4,,,,6,49900,TRUE,FALSE,FALSE,
2649,99999,99999,21,31,,เข็มกลัดเพชร,1,31,7,2022,4,,,,6,100000,TRUE,FALSE,FALSE,
2650,99999,99999,22,29,,ปืนพกยี่ห้อ ซิกซาวเออร์ ขนาด 9 มม,1,7,7,2016,4,,,,6,50000,TRUE,FALSE,FALSE,
2651,99999,99999,23,29,,ปืนพกยี่ห้อ บราวนิ่งค์ ขนาด 9 มม,1,8,7,2016,4,,,,6,50000,TRUE,FALSE,FALSE,
2652,99999,99999,24,33,,สร้อยคอทองรูปพรรณ น้ำหนักทอง 3 บาท,1,15,10,2020,4,,,,6,88230,TRUE,FALSE,FALSE,
2653,99999,99999,25,32,,กรอบพระเลี่ยมทอง น้ำหนักรวมทอง 4 บาท,1,15,10,2020,4,,,,6,117640,TRUE,FALSE,FALSE,
2654,99999,99999,26,31,,แหวนประดับเพชร 1 เม็ด,1,15,10,2020,4,,,,6,35000,TRUE,FALSE,FALSE,
2655,99999,99999,27,31,,1. แหวนทองฝังเพลขพลอย,1,25,10,2020,4,,,,6,34000,TRUE,FALSE,FALSE,
2656,99999,99999,28,31,,แหวนทอง,1,27,1,2023,4,,,,6,50000,TRUE,FALSE,FALSE,
